country,region,Year,Both sexes,Male,Female
Nigeria,West Africa,2015,61.2,59.6,62.8
Nigeria,West Africa,2010,59.2,57.8,60.8
Nigeria,West Africa,2000,53.6,52.2,55.2
Rwanda,East Africa,2019,69.1,66.9,71.2
Rwanda,East Africa,2015,67.7,65.5,69.8
Rwanda,East Africa,2010,64.4,62.3,66.5
Rwanda,East Africa,2000,47.5,45.9,49.2
Senegal,West Africa,2019,68.6,66.8,70.1
Senegal,West Africa,2015,67.2,65.5,68.8
Senegal,West Africa,2010,65.5,63.7,67.2
Senegal,West Africa,2000,58.6,56.9,60.3
Seychelles,East Africa,2019,73.3,70.0,77.1
Seychelles,East Africa,2015,73.2,70.0,76.8
Seychelles,East Africa,2010,73.0,69.6,76.8
Seychelles,East Africa,2000,71.9,67.8,76.3
Sierra Leone,West Africa,2019,60.8,59.6,61.9
Sierra Leone,West Africa,2015,56.9,55.9,57.9
Sierra Leone,West Africa,2010,54.7,53.7,55.8
Sierra Leone,West Africa,2000,48.7,46.8,50.7
Somalia,East Africa,2019,56.5,54.0,59.2
Somalia,East Africa,2015,54.6,52.2,57.3
Somalia,East Africa,2010,52.0,49.5,54.9
Somalia,East Africa,2000,49.9,47.6,52.6
South Africa,Southern Africa,2019,65.3,62.2,68.3
South Africa,Southern Africa,2015,62.6,59.8,65.3
South Africa,Southern Africa,2010,57.1,55.0,59.2
South Africa,Southern Africa,2000,55.8,53.1,58.6
South Sudan,East Africa,2019,62.8,60.8,64.8
South Sudan,East Africa,2015,62.0,59.8,64.3
South Sudan,East Africa,2010,61.1,59.2,63.1
South Sudan,East Africa,2000,54.1,52.1,56.4
Sudan,North Africa,2019,69.1,67.6,70.8
Sudan,North Africa,2015,67.9,66.2,69.7
Sudan,North Africa,2010,66.6,64.7,68.4
Sudan,North Africa,2000,62.5,60.4,64.7
Togo,West Africa,2019,64.3,61.5,67.2
Togo,West Africa,2015,61.9,59.2,64.8
Togo,West Africa,2010,59.3,57.0,61.8
Togo,West Africa,2000,55.9,53.9,58.1
Tunisia,North Africa,2019,77.0,74.9,79.2
Tunisia,North Africa,2015,76.7,74.6,78.8
Tunisia,North Africa,2010,76.0,73.9,78.2
Tunisia,North Africa,2000,74.1,71.9,76.5
Uganda,East Africa,2019,66.7,63.2,70.1
Uganda,East Africa,2015,64.5,60.8,68.1
Uganda,East Africa,2010,59.7,57.0,62.2
Uganda,East Africa,2000,48.8,46.8,50.8
Zambia,East Africa,2019,62.5,59.5,65.4
Zambia,East Africa,2015,60.5,57.9,63.0
Zambia,East Africa,2010,56.7,54.3,59.1
Zambia,East Africa,2000,44.5,43.7,45.2
Zimbabwe,East Africa,2019,60.7,57.5,63.6
Zimbabwe,East Africa,2015,58.5,55.7,61.0
Zimbabwe,East Africa,2010,51.5,49.6,53.2
Zimbabwe,East Africa,2000,46.6,45.1,48.1
