Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Delhi,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Goa,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Gujarat,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Haryana,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Jharkhand,Agriculture,Rice,104601.83,110867.2,112399.36,113740.66,96903.8,81610.36,88664.91,99599.58,101763.38,94946.41,134438.57
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Karnataka,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Kerala,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Lakshadweep,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Manipur,Agriculture,Rice,8082.14,7962.44,7955.26,8035.46,8098.9,9665.78,10579.09,8345.36,9889.97,10728.71,9559.07
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Meghalaya,Agriculture,Rice,4057.18,3993.37,4053.38,4122.04,4141.92,4146.57,4164.7,4195.51,4210.25,4222.36,4254.83
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Mizoram,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Nagaland,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Odisha,Agriculture,Rice,270061.64,268563.23,268192.4,268342.87,264339.96,256692.94,244600.47,242095.76,249482.95,251223.13,240929.12
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Puducherry,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Punjab,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Sikkim,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Tamil Nadu,Agriculture,Rice,95249.11,93117.91,86639.85,90023.73,88650.14,89771.51,90416.19,75774.93,79180.1,84406.85,93855.66
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Telangana,Agriculture,Rice,69746.78,73848.43,73914.77,79556.49,68252.54,82104.21,79061.22,69503.72,85970.14,71741.2,52228.6
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Tripura,Agriculture,Rice,90741.4,89901.89,90236.69,87748.91,83649.14,87080.29,88842.34,85454.81,83078.21,84195.59,88636.5
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Agriculture,Rice,941651.49,933346.07,924514.84,947775.1,912494.45,920308.5,938486.62,944489.06,956090.26,974400.93,947106.3
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,Agriculture,Rice,407623.69,383865.65,381600.6,376344.11,352984.67,355755.26,345649.02,324540.97,315777.37,312459.74,316712.98
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,West Bengal,Agriculture,Rice,1026820.98,1014018.07,1014118.39,1044327.15,1013216.76,908306.26,943049.91,966194.56,975903.49,980755.54,972873.12
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Andaman & Nicobar Islands,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Agriculture,Rice,182124.04,194755.0,195891.16,212912.11,187763.53,224535.03,215185.07,187138.29,210903.63,207584.22,188244.36
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Assam,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Bihar,Agriculture,Rice,210486.24,221849.14,225775.71,227010.67,209257.52,189624.82,209758.68,215441.2,207370.56,210454.37,209904.23
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Chandigarh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Agriculture,Rice,88515.5,117851.32,133208.59,133853.52,119224.4,139474.4,155989.48,172156.06,177208.44,183781.9,178382.33
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Delhi,Agriculture,Rice,3135.91,3004.18,3003.07,2916.64,2795.05,2772.76,2642.66,2598.38,2485.6,2448.01,2790.73
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Goa,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Gujarat,Agriculture,Rice,32810.86,33986.74,35465.78,33935.47,31029.77,34585.26,36959.31,36191.36,35831.36,35831.36,34470.46
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Haryana,Agriculture,Rice,209976.57,209568.23,215133.66,236531.89,243929.22,249634.03,250304.03,245120.4,249720.38,256614.09,269831.02
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Intermittent Multiple Aeration,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,Agriculture,Rice,19631.29,19885.06,19810.38,19749.52,20092.18,20435.07,19864.03,20041.78,19992.62,19648.03,19978.89
